"show_name","show_date","show_location","show_price","show_music_type_name"
"【北京】万圣COS听情歌-2022“爱到鬼迷心窍”演唱会","2022.10.31－10.31","北京 乐空间","¥180起","流行"
"【摇滚兄弟呈现】周末狂欢夜 披萨脸+甜蜜暴燥+黑白弹丸","2022.11.04 本周五 20:00","北京 乐空间","¥79起","独立"
"【摇滚兄弟呈现】周末狂欢夜 披萨脸+甜蜜暴燥+黑白弹丸","2022.11.04 本周五 20:00","北京 乐空间","¥79起","朋克"
"【摇滚兄弟呈现】周末狂欢夜 披萨脸+甜蜜暴燥+黑白弹丸","2022.11.04 本周五 20:00","北京 乐空间","¥79起","摇滚"
"“爱乐之城”——经典电影音乐作品音乐会","2022.11.04－11.23","北京 爱乐汇艺术空间","¥100起","轻音乐"
"飞狗呈现--关于我爱你","2022.11.04 本周五 20:00","北京 WeShow Live","¥100起","摇滚"
"飞狗呈现--关于我爱你","2022.11.04 本周五 20:00","北京 WeShow Live","¥100起","流行"
"飞狗呈现--关于我爱你","2022.11.04 本周五 20:00","北京 WeShow Live","¥100起","独立"
"“爱乐之城”——经典电影音乐作品音乐会","2022.11.05－11.27","北京 爱乐汇艺术空间","¥100起","轻音乐"
"“浪漫古典”一生必听的古典世界名曲系列音乐会","2022.11.05－11.20","北京 爱乐汇艺术空间","¥100起","轻音乐"
"【摇滚兄弟呈现】好久不见 化骨龙+小柑橘+一日赢家","2022.11.05 本周六 20:00","北京 乐空间","¥79起","独立"
"【摇滚兄弟呈现】好久不见 化骨龙+小柑橘+一日赢家","2022.11.05 本周六 20:00","北京 乐空间","¥79起","摇滚"
"权力的游戏— Charming Live·燃系史诗交响电声音乐会","2022.11.05 本周六 19:30","北京 北展剧场","¥90起","世界音乐"
"异国人×失眠少年乐队联合巡演","2022.11.05 本周六 20:30","北京 WeShow Live","¥100","摇滚"
"异国人×失眠少年乐队联合巡演","2022.11.05 本周六 20:30","北京 WeShow Live","¥100","独立"
"听见国潮 Chinese music｜‘一生必听’国风经典名曲燃情音乐会","2022.11.06－11.20","北京 爱乐汇艺术空间","¥100起","轻音乐"