"name_name","name_info_name","name_price_status"
"“溯说”徐均朔音乐会北京站—北京国际流行音乐周","艺人：徐均朔","280-1200 元 售票中"
"“溯说”徐均朔音乐会北京站—北京国际流行音乐周","北京 | 北京展览馆剧场","280-1200 元 售票中"
"“溯说”徐均朔音乐会北京站—北京国际流行音乐周","2022.11.25 周五 19:30","280-1200 元 售票中"
"【万圣COS听情歌】-2022“爱到鬼迷心窍”演唱会-北京","北京 | 北京 乐空间","180-480 元 售票中"
"【万圣COS听情歌】-2022“爱到鬼迷心窍”演唱会-北京","2022.10.31 周一","180-480 元 售票中"
"【早鸟五折特惠】「蝴蝶效应」—谈丽君&多边图形乐队live现场","北京 | 三里屯·爱乐汇艺术空间-时空剧场","80-220 元 售票中"
"【早鸟五折特惠】「蝴蝶效应」—谈丽君&多边图形乐队live现场","2022.11.24 周四 19:30","80-220 元 售票中"
"大粉乐队""今夜不设防""巡演-北京站","艺人：大粉乐队","100-180 元 售票中"
"大粉乐队""今夜不设防""巡演-北京站","北京 | 疆进酒·OMNI SPACE","100-180 元 售票中"
"大粉乐队""今夜不设防""巡演-北京站","2022.12.18 周日 20:30","100-180 元 售票中"
"飞狗呈现--关于我爱你","北京 | WeShow Live","100 元 售票中"
"飞狗呈现--关于我爱你","2022.11.04 周五 20:00","100 元 售票中"
"【限时七折】“爵士时光”浪漫经典音乐会","北京 | 三里屯·爱乐汇艺术空间-时空剧场","80-220 元 售票中"
"【限时七折】“爵士时光”浪漫经典音乐会","2022.11.10 周四","80-220 元 售票中"
"Lur:「月亮与月亮」2022全国巡演 北京站","艺人：LUR","100 元 售票中"
"Lur:「月亮与月亮」2022全国巡演 北京站","北京 | 北京 乐空间","100 元 售票中"
"Lur:「月亮与月亮」2022全国巡演 北京站","2023.12.31 周日","100 元 售票中"
"器乐音景NO.4","北京 | 东市·OMIN CLUB","120 元 售票中"
"器乐音景NO.4","2022.11.12 周六 20:30","120 元 售票中"
"【岁月无声 再见理想】纪念家驹29周年演唱会（延期至2023年1月6日）","北京 | IMAGINE 想象空间","158 元 售票中"
"【岁月无声 再见理想】纪念家驹29周年演唱会（延期至2023年1月6日）","2023.01.06 周五 20:30","158 元 售票中"
"鲸浪【西村波西米亚】2022巡演北京站（延期时间待定）","北京 | 北京 乐空间","130-160 元 售票中"
"鲸浪【西村波西米亚】2022巡演北京站（延期时间待定）","2022.12.31 周六 20:00","130-160 元 售票中"
"张承&二番目乐队「人间饮酒指南」2022巡演北京站《延期》","艺人：张承&二番目乐队","100-160 元 售票中"
"张承&二番目乐队「人间饮酒指南」2022巡演北京站《延期》","北京 | 疆进酒·OMNI SPACE","100-160 元 售票中"
"张承&二番目乐队「人间饮酒指南」2022巡演北京站《延期》","2022.12.23 周五 20:30","100-160 元 售票中"
"2021-2022徐海俏《空》新专辑巡演 北京站（延期至23年下半年 具体时间另行通知）","艺人：徐海俏","99-160 元 售票中"
"2021-2022徐海俏《空》新专辑巡演 北京站（延期至23年下半年 具体时间另行通知）","北京 | 疆进酒·OMNI SPACE","99-160 元 售票中"
"2021-2022徐海俏《空》新专辑巡演 北京站（延期至23年下半年 具体时间另行通知）","2023.12.31 周日 20:00","99-160 元 售票中"
"打扰一下乐团「黑色罗曼史」2022春夏巡演 北京站（延期至12月8日）","艺人：打扰一下","168-288 元 售票中"
"打扰一下乐团「黑色罗曼史」2022春夏巡演 北京站（延期至12月8日）","北京 | 疆进酒·OMNI SPACE","168-288 元 售票中"
"打扰一下乐团「黑色罗曼史」2022春夏巡演 北京站（延期至12月8日）","2022.12.08 周四 20:00","168-288 元 售票中"
"春日玫瑰乐队「会是爱吗」2022首轮巡演 北京站（延期至11月24日）","艺人：春日玫瑰","120 元 售票中"
"春日玫瑰乐队「会是爱吗」2022首轮巡演 北京站（延期至11月24日）","北京 | 疆进酒·OMNI SPACE","120 元 售票中"
"春日玫瑰乐队「会是爱吗」2022首轮巡演 北京站（延期至11月24日）","2022.11.24 周四 20:00","120 元 售票中"
"刘大壮“会不会”巡演2.0“从家出发”，从心出发-北京站","艺人：刘大壮","168-238 元 售票中"
"刘大壮“会不会”巡演2.0“从家出发”，从心出发-北京站","北京 | 北京 乐空间","168-238 元 售票中"
"刘大壮“会不会”巡演2.0“从家出发”，从心出发-北京站","2022.12.04 周日 14:00","168-238 元 售票中"
"【安可场】“真的爱你”致敬BEYOND·黄家驹演唱会2021NEW巡演北京站 最帅最接近原音的家驹传承者（延期）","艺人：630乐团","价格待定 售票中"
"【安可场】“真的爱你”致敬BEYOND·黄家驹演唱会2021NEW巡演北京站 最帅最接近原音的家驹传承者（延期）","北京 | 糖果TANGO-雍和宫店三层","价格待定 售票中"
"【安可场】“真的爱你”致敬BEYOND·黄家驹演唱会2021NEW巡演北京站 最帅最接近原音的家驹传承者（延期）","时间待定","价格待定 售票中"
"施鑫文月「望江公子」巡演 - 北京站","艺人：施鑫文月","价格待定 售票中"
"施鑫文月「望江公子」巡演 - 北京站","北京 | 疆进酒·OMNI SPACE","价格待定 售票中"
"施鑫文月「望江公子」巡演 - 北京站","时间待定","价格待定 售票中"
"启航——重型摇滚狂欢夜(延期待定)","北京 | 集结社Live House","价格待定 售票中"
"启航——重型摇滚狂欢夜(延期待定)","时间待定","价格待定 售票中"
"燕池【春归】2022春季巡演 北京站","北京 | MAO Livehouse北京","价格待定 售票中"
"燕池【春归】2022春季巡演 北京站","时间待定","价格待定 售票中"
"北京 | 5.7 姜昕The List Hippie最后的嬉皮士 加场演出（延期时间待定）","北京 | Blue Note Beijing 爵士乐俱乐部","299 元 售票中"
"北京 | 5.7 姜昕The List Hippie最后的嬉皮士 加场演出（延期时间待定）","2022.12.31 周六 20:00","299 元 售票中"
"Macondø「造字纪」2022新专辑全国巡演 北京站(延期待定)","北京 | 疆进酒·OMNI SPACE","120-150 元 售票中"
"Macondø「造字纪」2022新专辑全国巡演 北京站(延期待定)","2022.12.31 周六 20:30","120-150 元 售票中"
"CORKI刘宗鑫【下坠Falling】2022巡演 北京站","北京 | IMAGINE 想象空间","220-299 元 售票中"
"CORKI刘宗鑫【下坠Falling】2022巡演 北京站","2023.06.04 周日 20:30","220-299 元 售票中"
"M-LAB x 小木丁 | 提香TITIAN乐队「浪漫主义者的巡演」北京站（延期时间待定）","艺人：提香Titian","109 元 售票中"
"M-LAB x 小木丁 | 提香TITIAN乐队「浪漫主义者的巡演」北京站（延期时间待定）","北京 | 疆进酒·OMNI SPACE","109 元 售票中"
"M-LAB x 小木丁 | 提香TITIAN乐队「浪漫主义者的巡演」北京站（延期时间待定）","2022.12.30 周五 20:30","109 元 售票中"
"延期 【嘉宾助阵：梁龙➕万茜】2021黄龄“真·敢·玩”巡回演唱会-北京站","艺人：黄龄","380-2021 元 售票中"
"延期 【嘉宾助阵：梁龙➕万茜】2021黄龄“真·敢·玩”巡回演唱会-北京站","北京 | 北京展览馆剧场","380-2021 元 售票中"
"延期 【嘉宾助阵：梁龙➕万茜】2021黄龄“真·敢·玩”巡回演唱会-北京站","2021.11.13-2022.12.31","380-2021 元 售票中"
"Genetic Error X Lie To The Silence 联合专场","北京 | 北京 乐空间","价格待定 售票中"
"Genetic Error X Lie To The Silence 联合专场","时间待定","价格待定 售票中"
"「星巢现场·冬泳派对」沈以诚+帆布小镇+？？？（延期）","艺人：帆布小镇乐队","价格待定 售票中"
"「星巢现场·冬泳派对」沈以诚+帆布小镇+？？？（延期）","北京 | 糖果TANGO-雍和宫店三层","价格待定 售票中"
"「星巢现场·冬泳派对」沈以诚+帆布小镇+？？？（延期）","时间待定","价格待定 售票中"
"「滚哈混战派对」ICE+LeeyOn李昂（延期）","艺人：ICE、直火帮、LeeyOn李昂","价格待定 售票中"
"「滚哈混战派对」ICE+LeeyOn李昂（延期）","北京 | 糖果TANGO-雍和宫店三层","价格待定 售票中"
"「滚哈混战派对」ICE+LeeyOn李昂（延期）","时间待定","价格待定 售票中"
"Nightwish 夜愿乐队2020北京站演唱会","艺人：Nightwish","388-1488 元 售票中"
"Nightwish 夜愿乐队2020北京站演唱会","北京 | 北京展览馆剧场","388-1488 元 售票中"
"Nightwish 夜愿乐队2020北京站演唱会","2023.01.30 周一 19:30","388-1488 元 售票中"